timestamp,event_type,details
2025-02-10 18:22:56,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:58,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:01,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:03,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:06,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:08,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:11,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:13,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:16,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:18,App Switch,"{'previous_window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera', 'new_window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 30.06}"
2025-02-10 18:23:18,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:21,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:23,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:26,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:28,App Switch,"{'previous_window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera', 'new_window': 'ChatGPT', 'duration_in_previous_window': 10.02}"
2025-02-10 18:23:28,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:31,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:33,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:36,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:38,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:41,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:43,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:46,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:48,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:51,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:53,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:23:56,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 28.51}"
2025-02-10 18:23:56,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:23:58,App Switch,"{'previous_window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera', 'new_window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 1.54}"
2025-02-10 18:23:58,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:01,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:03,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:06,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:08,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:11,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:13,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:16,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:18,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:21,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:23,App Switch,"{'previous_window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera', 'new_window': 'ChatGPT', 'duration_in_previous_window': 25.05}"
2025-02-10 18:24:23,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:26,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:28,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 5.01}"
2025-02-10 18:24:28,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:31,Distraction,{'window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:33,App Switch,"{'previous_window': 'New File at Forge/VlogForge/tests · Dadudekc/Side-projects - Opera', 'new_window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 5.01}"
2025-02-10 18:24:33,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:36,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:38,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:24:41,Distraction,{'window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera'}
